"","OBJECTID","ARRDT","BOIS","TYPE_VOIE","NOM_VOIE","STATUT","TYPOLOGIE","SENS_VELO","TYPOLOGIE_SIMPLE","SHAPE.LEN","geo_shape","geo_point_2d"
"26",1786,6,"NON","QUAI","MALAQUAIS","VOIE 50","CONTINUITE MIXTE","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.335276964999968, 48.857947873783246], [2.335323786639181, 48.857932445453955], [2.335371959352412, 48.85792197220501], [2.335420960277902, 48.85791656771202]]}","48.8579288795, 2.33534823621"
"32",615,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.320887857675372, 48.87319898439693], [2.320735710800436, 48.87341418063171]]}","48.8733065825, 2.32081178424"
"33",622,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.322123593906685, 48.8718578892184], [2.321935775007292, 48.87212581137305]]}","48.8719918503, 2.32202968446"
"34",624,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.320938843123951, 48.87354358338533], [2.32106183363093, 48.87337890511277]]}","48.8734612442, 2.32100033838"
"35",627,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.320160069504835, 48.87425920235447], [2.32041537832935, 48.87390670017478]]}","48.8740829513, 2.32028772392"
"36",634,8,"NON","PLACE","SAINT AUGUSTIN","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.319535806022886, 48.8752626390146], [2.320138981007775, 48.87476936800327], [2.320326822634276, 48.87447311524664]]}","48.8748934551, 2.31996017363"
"37",636,8,"NON","RUE LA","BOETIE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.319180138304619, 48.87452135144654], [2.318727680529726, 48.874445964290985]]}","48.8744836579, 2.31895390942"
"38",640,8,"NON","RUE LA","BOETIE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.314302408555858, 48.873684000642314], [2.313624341376771, 48.87356661183132], [2.312487166486155, 48.8733709146448], [2.312251998843477, 48.873330658692744], [2.3115803325339668, 48.8731390541903]]}","48.8734386106, 2.31293517941"
"39",643,8,"NON","AVENUE","FRANKLIN DELANO ROOSEVELT","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.31000243601557, 48.871266380271365], [2.310007334815205, 48.87065149347442]]}","48.8709589369, 2.31000488542"
"40",645,8,"NON","ROND POINT DES","CHAMPS ELYSEES MARCEL DASSAULT","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.310040025412214, 48.869572331738794], [2.310053734510663, 48.86927259108255]]}","48.8694224614, 2.31004687996"
"103",572,8,"NON","PLACE DE LA","CONCORDE","VOIE 50","PISTE SYCLABLE BIDIRECTIONNELLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323284964858705, 48.86622894482266], [2.323255301761451, 48.86621002962347], [2.323228664909338, 48.86618704784353]]}","48.866209013, 2.32325605832"
"104",580,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.325232258690595, 48.869908422411825], [2.325468289696473, 48.87022967948259]]}","48.8700690509, 2.32535027419"
"105",585,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.325279149019447, 48.87079680060333], [2.324524350305268, 48.87103142994825]]}","48.8709141153, 2.32490174966"
"106",586,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.324524350305269, 48.87103142994818], [2.324494804789484, 48.87103918037811], [2.32446438830656, 48.871041981134006], [2.324433924275232, 48.87103975639531], [2.324404237401438, 48.871032566388955]]}","48.871038229, 2.32446435281"
"107",590,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323922607355609, 48.87049220105239], [2.323621744632602, 48.870081067711126], [2.323533479907325, 48.86995955312579]]}","48.8702259979, 2.32372787787"
"108",592,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323463250181657, 48.8698611823878], [2.323438660648787, 48.86982855835623], [2.32342009171006, 48.86979216924966], [2.323408104374087, 48.86975311446329], [2.323403060804737, 48.86971257392839], [2.323405113379367, 48.86967177246395], [2.32341420008517, 48.869631942772266], [2.323430046392713, 48.86959428819619]]}","48.8697311238, 2.32341941133"
"109",593,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323348841316359, 48.869705712845374], [2.323430046392713, 48.86959428819619]]}","48.8696500005, 2.32338944385"
"110",596,8,"NON","RUE","ROYALE","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323503562495332, 48.86847509854592], [2.323791565905451, 48.86886358344454], [2.323949163219694, 48.869081830575695]]}","48.8687778246, 2.32372723753"
"111",597,8,"NON","RUE","ROYALE","VOIE 50","CONTINUITE VELO","","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323949163219694, 48.869081830575695], [2.323827643576521, 48.86912105941907]]}","48.869101445, 2.3238884034"
"112",600,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","CONTINUITE VELO","","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323684662209271, 48.869229670868364], [2.3240172155396692, 48.86912701149349]]}","48.8691783412, 2.32385093887"
"113",601,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.324373231365797, 48.869182198940095], [2.32457729036426, 48.86921117035847]]}","48.8691966846, 2.32447526087"
"114",604,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.322352255680021, 48.871145129815794], [2.322049621953381, 48.87157510512221]]}","48.8713601175, 2.32220093882"
"115",1235,6,"NON","BOULEVARD","RASPAIL","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.328175167631732, 48.847315965226734], [2.328122640978452, 48.84749813773515]]}","48.8474070515, 2.32814890431"
"116",1238,6,"NON","RUE DE","RENNES","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.328564338191143, 48.84887788871075], [2.328053007970571, 48.848320213594356]]}","48.8485990512, 2.32830867308"
"117",1242,7,"NON","BOULEVARD","RASPAIL","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.326873370142259, 48.85182714501541], [2.326732091535114, 48.852328296002284], [2.326584926024654, 48.85282791998092], [2.326457137948212, 48.85327460098813], [2.326292549707349, 48.8538427620993], [2.326193619366982, 48.85418811204676], [2.326047513892939, 48.85468105228897]]}","48.8532546887, 2.3264624877"
"118",1244,6,"NON","RUE DE","SEVRES","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.320265620763239, 48.84823590173125], [2.321097896564293, 48.84866980605292], [2.32205519027357, 48.84916641465959], [2.323153574252279, 48.84971580684972], [2.323231567869434, 48.84975679095566]]}","48.8490014248, 2.32174600324"
"119",1246,6,"NON","RUE DE","SEVRES","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.3234039784686322, 48.84984088751141], [2.323957119879856, 48.85009931578255]]}","48.8499701016, 2.32368054917"
"120",1247,6,"NON","RUE DE","SEVRES","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323957119879856, 48.85009931578255], [2.324343059152223, 48.85026858685021]]}","48.8501839513, 2.32415008952"
"121",1249,6,"NON","RUE DE","SEVRES","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.324539901591227, 48.850351971499876], [2.32477000408584, 48.85044741800816]]}","48.8503996948, 2.32465495284"
"139",1354,6,"NON","BOULEVARD DU","MONTPARNASSE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.323360548831449, 48.844119151843906], [2.322233740936884, 48.84449255296081], [2.320713108296201, 48.844996107243425], [2.320621413083741, 48.84502747280684]]}","48.8445729464, 2.32199085743"
"166",1477,8,"NON","RUE DE","TILSITT","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.297276977810477, 48.8734119560326], [2.297300830448108, 48.87348380774983], [2.2973198272845963, 48.873557093067554], [2.297333883358726, 48.87363148422544], [2.297342935806288, 48.873706648517384], [2.297346944141228, 48.87378224977956], [2.297345890436719, 48.87385794989381]]}","48.8736327061, 2.29732597586"
"167",1478,8,"NON","RUE DE","TILSITT","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.29729045249182, 48.87410043991023], [2.29726430372374, 48.8741756598082], [2.2972328438208, 48.874248817621385], [2.297196233809965, 48.8743195388928], [2.297154661078935, 48.874387461636836], [2.29710833841701, 48.87445223819213]]}","48.8742815634, 2.29720948758"
"220",2114,6,"NON","PLACE","PABLO PICASSO","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.330073069026084, 48.84184390741187], [2.329206067591706, 48.842139533608055]]}","48.8419917205, 2.32963956831"
"221",2118,6,"NON","BOULEVARD DU","MONTPARNASSE","VOIE 50","COULOIR BUS PROTEGE BIDIRECTIONNEL","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.326170759181304, 48.843147809957586], [2.325599382895835, 48.843336596209525], [2.324982409233415, 48.843539913004214], [2.324842156794117, 48.8435738778187], [2.3245181648182642, 48.84367785794956]]}","48.8434169314, 2.3253456781"
"222",2121,6,"NON","BOULEVARD DU","MONTPARNASSE","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.326170759181304, 48.843147809957586], [2.326518680076653, 48.843032852723525]]}","48.8430903313, 2.32634471963"
"236",2211,6,"NON","RUE","GUYNEMER","VOIE 50","PISTE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.332419740953932, 48.84752938782038], [2.332413653956713, 48.84742615775038]]}","48.8474777728, 2.33241669746"
"237",2214,6,"NON","RUE","GUYNEMER","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.332442586715199, 48.847908749965086], [2.332439910960309, 48.84786484087026]]}","48.8478867954, 2.33244124884"
"238",2215,6,"NON","RUE","GUYNEMER","VOIE 50","BANDE CYCLABLE AVEC STATIONNEMENT RECONSTITUE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.332374615259189, 48.846784754093775], [2.33236618091899, 48.846639115659826], [2.332358491641986, 48.84652052626912]]}","48.8466526263, 2.33236677898"
"239",2227,6,"NON","RUE","BONAPARTE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.332665626917796, 48.849449072795665], [2.332682142703134, 48.8490870889293], [2.332696148204087, 48.848787370581036]]}","48.8491182175, 2.33268079732"
"240",2229,6,"NON","RUE","BONAPARTE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.332662294849821, 48.84952210260084], [2.332665626917796, 48.849449072795665]]}","48.8494855877, 2.33266396088"
"241",2237,6,"NON","RUE","SAINT SULPICE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.336932372613503, 48.85146718564992], [2.3357659331481813, 48.851330240216605], [2.335505052722511, 48.85132267793332]]}","48.8513855758, 2.33621939616"
"242",2255,6,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.330957781136629, 48.85429333564819], [2.331157747551003, 48.85424629988965]]}","48.8542698178, 2.33105776434"
"243",2257,6,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.332170607363315, 48.854004091486814], [2.332600139156965, 48.853901198609194]]}","48.853952645, 2.33238537326"
"244",2261,6,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.332600139156965, 48.853901198609194], [2.332838451724216, 48.85382473109943]]}","48.8538629649, 2.33271929544"
"245",2267,6,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.334250297411196, 48.853516635031184], [2.3345499710638142, 48.853443487688736]]}","48.8534800614, 2.33440013424"
"246",2277,6,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.340818872074144, 48.85190950206203], [2.341865150510835, 48.85165270922075]]}","48.8517811056, 2.34134201129"
"247",2280,6,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.342045014294807, 48.8516092791253], [2.342926252520904, 48.85139648945332]]}","48.8515028843, 2.34248563341"
"248",2292,5,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.346302817757267, 48.85058291319245], [2.346500740953398, 48.850534774943945]]}","48.8505588441, 2.34640177936"
"249",2293,5,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.347581685298657, 48.85027146397863], [2.3479570374029652, 48.85017936789146]]}","48.8502254159, 2.34776936135"
"250",2295,5,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.348749429034562, 48.84998696829428], [2.349383708231621, 48.84983295494542]]}","48.8499099616, 2.34906656863"
"251",2302,5,"NON","BOULEVARD","SAINT GERMAIN","ZONE 30","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.351530539076546, 48.849509879553054], [2.351884395604611, 48.84949578763867]]}","48.8495028336, 2.35170746734"
"252",2307,5,"NON","BOULEVARD","SAINT GERMAIN","ZONE 30","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.355073157628193, 48.84941464817517], [2.354767009924432, 48.84942654666619]]}","48.8494205974, 2.35492008378"
"253",2308,5,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.355739303942689, 48.84938875554116], [2.3562703648132812, 48.849361014227966]]}","48.8493748849, 2.35600483438"
"261",2334,7,"NON","PLACE","ANDRE TARDIEU","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.31437314239008, 48.85142843286271], [2.314367663922785, 48.85142107853197], [2.314361334215752, 48.85141444267533], [2.314276539709833, 48.85135245353291]]}","48.8513890689, 2.31432614899"
"262",2340,7,"NON","BOULEVARD DES","INVALIDES","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.314860415856592, 48.84972540356925], [2.314971365561622, 48.84952435189684]]}","48.8496248777, 2.31491589071"
"263",2342,7,"NON","BOULEVARD DES","INVALIDES","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.315163551023633, 48.84917049735904], [2.315605279694533, 48.84837014376637]]}","48.8487703206, 2.31538441536"
"264",2343,7,"NON","BOULEVARD DES","INVALIDES","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.315071347903668, 48.84933755376709], [2.315163551023633, 48.84917049735904]]}","48.8492540256, 2.31511744946"
"265",2348,7,"NON","BOULEVARD DES","INVALIDES","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.316406576413129, 48.847422709642466], [2.316383667968918, 48.847516979323885]]}","48.8474698445, 2.31639512219"
"266",2349,7,"NON","BOULEVARD DES","INVALIDES","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.316298853848893, 48.84753937965695], [2.316107900764849, 48.84788799943601]]}","48.8477136895, 2.31620337731"
"267",2368,5,"NON","RUE","SAINT JACQUES","ZONE 30","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.340584663450332, 48.84028567469824], [2.340557936024531, 48.84024571899582], [2.340399994972728, 48.8400067108467]]}","48.8401462568, 2.34049223285"
"268",2369,5,"NON","RUE","SAINT JACQUES","ZONE 30","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.339891707865428, 48.839256571618144], [2.33979032830857, 48.83909605419019], [2.339754026444491, 48.83903752521013]]}","48.8391471577, 2.33982269259"
"269",2370,5,"NON","RUE","SAINT JACQUES","ZONE 30","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.339973946635551, 48.83934413625233], [2.339891707865428, 48.839256571618144]]}","48.8393003539, 2.33993282725"
"270",2377,5,"NON","RUE","SAINT JACQUES","ZONE 30","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.342927058015917, 48.84608860076862], [2.342994106864363, 48.84618304927965]]}","48.846135825, 2.34296058244"
"271",2379,5,"NON","RUE","SAINT JACQUES","ZONE 30","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.342994106864363, 48.84618304927965], [2.343141948260271, 48.84642456644509]]}","48.8463038079, 2.34306802756"
"272",2390,5,"NON","RUE","SAINT JACQUES","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.345852977503435, 48.85149812273775], [2.346071178956246, 48.85187563461465], [2.346209563543921, 48.85211454716771]]}","48.8518063739, 2.34603120321"
"273",2395,5,"NON","RUE DES","ECOLES","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.349328934279034, 48.848435858719], [2.348650105061779, 48.84861767526309]]}","48.848526767, 2.34898951967"
"274",2396,5,"NON","RUE DES","ECOLES","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.348383939813099, 48.848689305724385], [2.347602534590537, 48.84889946829765]]}","48.848794387, 2.3479932372"
"275",2404,5,"NON","RUE","MONGE","VOIE 30","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.351254217487277, 48.83956459207202], [2.351435790411108, 48.83988977497721]]}","48.8397271835, 2.35134500395"
"276",2407,5,"NON","RUE","MONGE","VOIE 30","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.351796249173592, 48.840478633989925], [2.35187370664766, 48.84055439548919], [2.351961557556446, 48.8407215366218], [2.351920239142324, 48.840984628499385]]}","48.8407162818, 2.35191273529"
"277",2409,5,"NON","RUE","MONGE","VOIE 30","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.352105163336614, 48.84224083742976], [2.352106257942598, 48.842251377163144], [2.352149932211469, 48.84254080395987], [2.352157334717746, 48.8425945725476]]}","48.8424176925, 2.35213130816"
"278",2411,5,"NON","RUE","MONGE","VOIE 30","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.352086693338733, 48.84206299307455], [2.352105163336614, 48.84224083742976]]}","48.8421519153, 2.35209592834"
"279",2420,5,"NON","RUE","MONGE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.35167098751955, 48.84628799884415], [2.351827765796775, 48.84585767195142]]}","48.8460728354, 2.35174937666"
"280",2422,5,"NON","RUE","LAGRANGE","ZONE 30","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.348212891668534, 48.85222569954454], [2.348178966713495, 48.85215527070331]]}","48.8521904851, 2.34819592919"
"281",2424,5,"NON","RUE","LAGRANGE","ZONE 30","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.348128872323085, 48.85206622647842], [2.347889905532676, 48.8517401019382], [2.347874003361401, 48.85171383601264], [2.347862784866522, 48.85168525414306], [2.347856574906775, 48.851655183986814], [2.34785686475981, 48.851570953652846], [2.347858024137415, 48.85156110261867], [2.347860557558807, 48.851551512581814], [2.347864414654889, 48.851542374209934], [2.347869518739466, 48.851533869190746], [2.347875768333907, 48.85152616661974], [2.347932473135648, 48.85145334016205], [2.347979868062707, 48.851391559362376]]}","48.8517326536, 2.34795094327"
"282",2435,5,"NON","BOULEVARD","SAINT MICHEL","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.338305165401181, 48.84260669823114], [2.338601579818444, 48.843147768311496]]}","48.8428772333, 2.33845337261"
"283",2441,5,"NON","BOULEVARD","SAINT MICHEL","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.341056474136315, 48.84757347275795], [2.341200649385374, 48.84780880084484], [2.341457629053336, 48.848227355852565]]}","48.8479004584, 2.34125697978"
"284",2444,5,"NON","BOULEVARD","SAINT MICHEL","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.342830515987995, 48.850531881559725], [2.342779813260619, 48.850424576519536]]}","48.850478229, 2.34280516462"
"285",2445,5,"NON","BOULEVARD","SAINT MICHEL","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.342903575764902, 48.850692161956246], [2.3431522296854412, 48.851217494637055]]}","48.8509548283, 2.34302790273"
"286",2450,6,"NON","AVENUE DE L","OBSERVATOIRE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.336522587984518, 48.84011506467717], [2.336516484937873, 48.83991662033103]]}","48.8400158425, 2.33651953646"
