"","OBJECTID","ARRDT","BOIS","TYPE_VOIE","NOM_VOIE","STATUT","TYPOLOGIE","SENS_VELO","TYPOLOGIE_SIMPLE","SHAPE.LEN","geo_shape","geo_point_2d"
"8176",2238,6,"NON","RUE","SAINT SULPICE","VOIE 30","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.335505052722511, 48.85132267793332], [2.335413538341152, 48.85132291522967], [2.335196495234225, 48.851332893100064]]}","48.8513263904, 2.33535074012"
"8177",2241,6,"NON","PLACE","SAINT SULPICE","VOIE 30","PISTE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.333352789608786, 48.85123838474329], [2.333112376036252, 48.85122064233222]]}","48.8512295135, 2.33323258282"
"8178",2243,6,"NON","CARREFOUR DE L","ODEON","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.338416167274039, 48.85179137380177], [2.338303932537904, 48.8516438749765]]}","48.8517176244, 2.33836004991"
"8179",2246,7,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3252234077150042, 48.856412628880065], [2.325671038179158, 48.85611025860866], [2.326034945942804, 48.855919865046054]]}","48.8561550275, 2.32562248111"
"8180",2247,7,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.32693961927293, 48.85551587977502], [2.327049114389926, 48.855466983420655], [2.327578852430194, 48.85522756409735], [2.328402525503088, 48.8549895877935], [2.3289770269552212, 48.854826776855376]]}","48.855138734, 2.32794642491"
"8181",2249,7,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.326699043368898, 48.85562331114127], [2.32693961927293, 48.85551587977502]]}","48.8555695955, 2.32681933132"
"8182",2258,6,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.331464272650591, 48.85417328730367], [2.331656951021823, 48.85412713354272]]}","48.8541502104, 2.33156061184"
"8183",2265,6,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.33351492864898, 48.85369133349826], [2.3335833333641762, 48.85367943083789], [2.334104376831675, 48.85355225243771]]}","48.8536238122, 2.33381007436"
"8184",2271,6,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.336018765643725, 48.853081782669314], [2.336582653416031, 48.852941369409905], [2.336869008933923, 48.852872017256]]}","48.8529762893, 2.33644373732"
"8185",2273,6,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.337136929828162, 48.85280712897321], [2.3376224746082173, 48.852689531988275]]}","48.8527483305, 2.33737970222"
"8186",2281,6,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.341865150510835, 48.85165270922075], [2.342045014294807, 48.8516092791253]]}","48.8516309942, 2.3419550824"
"8187",2283,5,"NON","BOULEVARD","SAINT GERMAIN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.343149144842906, 48.85134422569774], [2.3433229611277913, 48.85130346892094]]}","48.8513238473, 2.34323605299"
